"year" "source" "base" "ID" "rep" "replacement_condition"
2011 "chicken" "A" 1 1 TRUE
2001 "human_stool" "A" 2 1 TRUE
2011 "human_stool" "A" 1 1 TRUE
2011 "chicken" "I" 23 1 TRUE
2013 "chicken" "I" 33 1 TRUE
2014 "chicken" "I" 18 1 TRUE
2015 "chicken" "I" 32 1 TRUE
2016 "chicken" "I" 39 1 TRUE
2018 "chicken" "I" 56 1 TRUE
1997 "human_stool" "I" 4 1 TRUE
1998 "human_stool" "I" 6 1 TRUE
2001 "human_stool" "I" 26 1 TRUE
2003 "human_stool" "I" 24 1 TRUE
2004 "human_stool" "I" 34 1 TRUE
2005 "human_stool" "I" 20 1 TRUE
2006 "human_stool" "I" 41 1 TRUE
2007 "human_stool" "I" 28 1 TRUE
2009 "human_stool" "I" 30 1 TRUE
2010 "human_stool" "I" 39 1 TRUE
2011 "human_stool" "I" 35 1 TRUE
2012 "human_stool" "I" 42 1 TRUE
2013 "human_stool" "I" 39 1 TRUE
2014 "human_stool" "I" 47 1 TRUE
2015 "human_stool" "I" 45 1 TRUE
2016 "human_stool" "I" 39 1 TRUE
2017 "human_stool" "I" 41 1 TRUE
2018 "human_stool" "I" 48 1 TRUE
2011 "chicken" "T" 76 1 TRUE
2013 "chicken" "T" 67 1 TRUE
2014 "chicken" "T" 82 1 TRUE
2015 "chicken" "T" 68 1 TRUE
2016 "chicken" "T" 61 1 TRUE
2018 "chicken" "T" 44 1 TRUE
1997 "human_stool" "T" 96 1 TRUE
1998 "human_stool" "T" 94 1 TRUE
2001 "human_stool" "T" 72 1 TRUE
2003 "human_stool" "T" 76 1 TRUE
2004 "human_stool" "T" 66 1 TRUE
2005 "human_stool" "T" 80 1 TRUE
2006 "human_stool" "T" 59 1 TRUE
2007 "human_stool" "T" 72 1 TRUE
2009 "human_stool" "T" 70 1 TRUE
2010 "human_stool" "T" 61 1 TRUE
2011 "human_stool" "T" 64 1 TRUE
2012 "human_stool" "T" 58 1 TRUE
2013 "human_stool" "T" 61 1 TRUE
2014 "human_stool" "T" 53 1 TRUE
2015 "human_stool" "T" 55 1 TRUE
2016 "human_stool" "T" 61 1 TRUE
2017 "human_stool" "T" 59 1 TRUE
2018 "human_stool" "T" 52 1 TRUE
2011 "chicken" "A" 2 2 TRUE
2018 "chicken" "A" 1 2 TRUE
2011 "human_stool" "A" 1 2 TRUE
2016 "human_stool" "A" 1 2 TRUE
2011 "chicken" "I" 19 2 TRUE
2013 "chicken" "I" 31 2 TRUE
2014 "chicken" "I" 22 2 TRUE
2015 "chicken" "I" 24 2 TRUE
2016 "chicken" "I" 47 2 TRUE
2018 "chicken" "I" 56 2 TRUE
1997 "human_stool" "I" 4 2 TRUE
1998 "human_stool" "I" 6 2 TRUE
2001 "human_stool" "I" 32 2 TRUE
2003 "human_stool" "I" 29 2 TRUE
2004 "human_stool" "I" 25 2 TRUE
2005 "human_stool" "I" 30 2 TRUE
2006 "human_stool" "I" 29 2 TRUE
2007 "human_stool" "I" 32 2 TRUE
2009 "human_stool" "I" 31 2 TRUE
2010 "human_stool" "I" 40 2 TRUE
2011 "human_stool" "I" 35 2 TRUE
2012 "human_stool" "I" 43 2 TRUE
2013 "human_stool" "I" 37 2 TRUE
2014 "human_stool" "I" 54 2 TRUE
2015 "human_stool" "I" 41 2 TRUE
2016 "human_stool" "I" 56 2 TRUE
2017 "human_stool" "I" 38 2 TRUE
2018 "human_stool" "I" 40 2 TRUE
2011 "chicken" "T" 79 2 TRUE
2013 "chicken" "T" 69 2 TRUE
2014 "chicken" "T" 78 2 TRUE
2015 "chicken" "T" 76 2 TRUE
2016 "chicken" "T" 53 2 TRUE
2018 "chicken" "T" 43 2 TRUE
1997 "human_stool" "T" 96 2 TRUE
1998 "human_stool" "T" 94 2 TRUE
2001 "human_stool" "T" 68 2 TRUE
2003 "human_stool" "T" 71 2 TRUE
2004 "human_stool" "T" 75 2 TRUE
2005 "human_stool" "T" 70 2 TRUE
2006 "human_stool" "T" 71 2 TRUE
2007 "human_stool" "T" 68 2 TRUE
2009 "human_stool" "T" 69 2 TRUE
2010 "human_stool" "T" 60 2 TRUE
2011 "human_stool" "T" 64 2 TRUE
2012 "human_stool" "T" 57 2 TRUE
2013 "human_stool" "T" 63 2 TRUE
2014 "human_stool" "T" 46 2 TRUE
2015 "human_stool" "T" 59 2 TRUE
2016 "human_stool" "T" 43 2 TRUE
2017 "human_stool" "T" 62 2 TRUE
2018 "human_stool" "T" 60 2 TRUE
2011 "chicken" "A" 1 3 TRUE
2018 "chicken" "A" 1 3 TRUE
2001 "human_stool" "A" 3 3 TRUE
2013 "human_stool" "A" 1 3 TRUE
2014 "human_stool" "A" 1 3 TRUE
2017 "human_stool" "A" 1 3 TRUE
2011 "chicken" "I" 26 3 TRUE
2013 "chicken" "I" 33 3 TRUE
2014 "chicken" "I" 16 3 TRUE
2015 "chicken" "I" 30 3 TRUE
2016 "chicken" "I" 45 3 TRUE
2018 "chicken" "I" 41 3 TRUE
1997 "human_stool" "I" 5 3 TRUE
1998 "human_stool" "I" 4 3 TRUE
2001 "human_stool" "I" 17 3 TRUE
2003 "human_stool" "I" 31 3 TRUE
2004 "human_stool" "I" 29 3 TRUE
2005 "human_stool" "I" 22 3 TRUE
2006 "human_stool" "I" 30 3 TRUE
2007 "human_stool" "I" 36 3 TRUE
2009 "human_stool" "I" 23 3 TRUE
2010 "human_stool" "I" 34 3 TRUE
2011 "human_stool" "I" 36 3 TRUE
2012 "human_stool" "I" 35 3 TRUE
2013 "human_stool" "I" 32 3 TRUE
2014 "human_stool" "I" 38 3 TRUE
2015 "human_stool" "I" 38 3 TRUE
2016 "human_stool" "I" 42 3 TRUE
2017 "human_stool" "I" 55 3 TRUE
2018 "human_stool" "I" 50 3 TRUE
2011 "chicken" "T" 73 3 TRUE
2013 "chicken" "T" 67 3 TRUE
2014 "chicken" "T" 84 3 TRUE
2015 "chicken" "T" 70 3 TRUE
2016 "chicken" "T" 55 3 TRUE
2018 "chicken" "T" 58 3 TRUE
1997 "human_stool" "T" 95 3 TRUE
1998 "human_stool" "T" 96 3 TRUE
2001 "human_stool" "T" 80 3 TRUE
2003 "human_stool" "T" 69 3 TRUE
2004 "human_stool" "T" 71 3 TRUE
2005 "human_stool" "T" 78 3 TRUE
2006 "human_stool" "T" 69 3 TRUE
2007 "human_stool" "T" 64 3 TRUE
2009 "human_stool" "T" 77 3 TRUE
2010 "human_stool" "T" 66 3 TRUE
2011 "human_stool" "T" 64 3 TRUE
2012 "human_stool" "T" 65 3 TRUE
2013 "human_stool" "T" 67 3 TRUE
2014 "human_stool" "T" 61 3 TRUE
2015 "human_stool" "T" 62 3 TRUE
2016 "human_stool" "T" 58 3 TRUE
2017 "human_stool" "T" 44 3 TRUE
2018 "human_stool" "T" 50 3 TRUE
2006 "human_stool" "V" 1 3 TRUE
2011 "chicken" "A" 1 4 TRUE
2018 "chicken" "A" 2 4 TRUE
2001 "human_stool" "A" 3 4 TRUE
2010 "human_stool" "A" 1 4 TRUE
2011 "human_stool" "A" 1 4 TRUE
2011 "chicken" "I" 20 4 TRUE
2013 "chicken" "I" 28 4 TRUE
2014 "chicken" "I" 24 4 TRUE
2015 "chicken" "I" 38 4 TRUE
2016 "chicken" "I" 42 4 TRUE
2018 "chicken" "I" 59 4 TRUE
1997 "human_stool" "I" 2 4 TRUE
1998 "human_stool" "I" 5 4 TRUE
2001 "human_stool" "I" 21 4 TRUE
2003 "human_stool" "I" 14 4 TRUE
2004 "human_stool" "I" 31 4 TRUE
2005 "human_stool" "I" 30 4 TRUE
2006 "human_stool" "I" 37 4 TRUE
2007 "human_stool" "I" 30 4 TRUE
2009 "human_stool" "I" 31 4 TRUE
2010 "human_stool" "I" 40 4 TRUE
2011 "human_stool" "I" 34 4 TRUE
2012 "human_stool" "I" 31 4 TRUE
2013 "human_stool" "I" 39 4 TRUE
2014 "human_stool" "I" 49 4 TRUE
2015 "human_stool" "I" 39 4 TRUE
2016 "human_stool" "I" 41 4 TRUE
2017 "human_stool" "I" 39 4 TRUE
