"year" "source" "base" "ID" "rep" "replacement_condition"
2011 "chicken" "A" 1 1 TRUE
2012 "chicken" "A" 1 1 TRUE
2015 "human_stool" "A" 1 1 TRUE
2017 "human_stool" "A" 1 1 TRUE
2006 "chicken" "I" 5 1 TRUE
2009 "chicken" "I" 5 1 TRUE
2011 "chicken" "I" 10 1 TRUE
2012 "chicken" "I" 11 1 TRUE
2013 "chicken" "I" 15 1 TRUE
2014 "chicken" "I" 10 1 TRUE
2015 "chicken" "I" 17 1 TRUE
2016 "chicken" "I" 22 1 TRUE
2018 "chicken" "I" 25 1 TRUE
1997 "human_stool" "I" 3 1 TRUE
1998 "human_stool" "I" 3 1 TRUE
2001 "human_stool" "I" 12 1 TRUE
2003 "human_stool" "I" 16 1 TRUE
2004 "human_stool" "I" 16 1 TRUE
2005 "human_stool" "I" 11 1 TRUE
2006 "human_stool" "I" 16 1 TRUE
2007 "human_stool" "I" 17 1 TRUE
2009 "human_stool" "I" 18 1 TRUE
2010 "human_stool" "I" 15 1 TRUE
2011 "human_stool" "I" 16 1 TRUE
2012 "human_stool" "I" 28 1 TRUE
2013 "human_stool" "I" 16 1 TRUE
2014 "human_stool" "I" 22 1 TRUE
2015 "human_stool" "I" 21 1 TRUE
2016 "human_stool" "I" 26 1 TRUE
2017 "human_stool" "I" 29 1 TRUE
2018 "human_stool" "I" 25 1 TRUE
2006 "chicken" "T" 45 1 TRUE
2009 "chicken" "T" 45 1 TRUE
2011 "chicken" "T" 39 1 TRUE
2012 "chicken" "T" 38 1 TRUE
2013 "chicken" "T" 35 1 TRUE
2014 "chicken" "T" 40 1 TRUE
2015 "chicken" "T" 33 1 TRUE
2016 "chicken" "T" 28 1 TRUE
2018 "chicken" "T" 25 1 TRUE
1997 "human_stool" "T" 47 1 TRUE
1998 "human_stool" "T" 47 1 TRUE
2001 "human_stool" "T" 38 1 TRUE
2003 "human_stool" "T" 34 1 TRUE
2004 "human_stool" "T" 34 1 TRUE
2005 "human_stool" "T" 39 1 TRUE
2006 "human_stool" "T" 34 1 TRUE
2007 "human_stool" "T" 33 1 TRUE
2009 "human_stool" "T" 32 1 TRUE
2010 "human_stool" "T" 35 1 TRUE
2011 "human_stool" "T" 34 1 TRUE
2012 "human_stool" "T" 22 1 TRUE
2013 "human_stool" "T" 34 1 TRUE
2014 "human_stool" "T" 28 1 TRUE
2015 "human_stool" "T" 28 1 TRUE
2016 "human_stool" "T" 24 1 TRUE
