"year" "source" "base" "ID" "rep" "replacement_condition"
2018 "chicken" "A" 1 1 TRUE
2011 "human_stool" "A" 1 1 TRUE
2006 "chicken" "I" 4 1 TRUE
2009 "chicken" "I" 1 1 TRUE
2011 "chicken" "I" 7 1 TRUE
2012 "chicken" "I" 8 1 TRUE
2013 "chicken" "I" 8 1 TRUE
2014 "chicken" "I" 6 1 TRUE
2015 "chicken" "I" 8 1 TRUE
2016 "chicken" "I" 8 1 TRUE
2018 "chicken" "I" 16 1 TRUE
1997 "human_stool" "I" 1 1 TRUE
1998 "human_stool" "I" 1 1 TRUE
2001 "human_stool" "I" 6 1 TRUE
2003 "human_stool" "I" 7 1 TRUE
2004 "human_stool" "I" 7 1 TRUE
2005 "human_stool" "I" 6 1 TRUE
2006 "human_stool" "I" 7 1 TRUE
2007 "human_stool" "I" 7 1 TRUE
2009 "human_stool" "I" 12 1 TRUE
2010 "human_stool" "I" 8 1 TRUE
2011 "human_stool" "I" 7 1 TRUE
2012 "human_stool" "I" 12 1 TRUE
2013 "human_stool" "I" 6 1 TRUE
2014 "human_stool" "I" 11 1 TRUE
2015 "human_stool" "I" 9 1 TRUE
2016 "human_stool" "I" 8 1 TRUE
2017 "human_stool" "I" 11 1 TRUE
2018 "human_stool" "I" 13 1 TRUE
2006 "chicken" "T" 21 1 TRUE
2009 "chicken" "T" 24 1 TRUE
2011 "chicken" "T" 18 1 TRUE
2012 "chicken" "T" 17 1 TRUE
2013 "chicken" "T" 17 1 TRUE
2014 "chicken" "T" 19 1 TRUE
2015 "chicken" "T" 17 1 TRUE
2016 "chicken" "T" 17 1 TRUE
2018 "chicken" "T" 8 1 TRUE
1997 "human_stool" "T" 24 1 TRUE
1998 "human_stool" "T" 24 1 TRUE
2001 "human_stool" "T" 19 1 TRUE
2003 "human_stool" "T" 18 1 TRUE
2004 "human_stool" "T" 18 1 TRUE
2005 "human_stool" "T" 19 1 TRUE
2006 "human_stool" "T" 18 1 TRUE
2007 "human_stool" "T" 18 1 TRUE
2009 "human_stool" "T" 13 1 TRUE
2010 "human_stool" "T" 17 1 TRUE
2011 "human_stool" "T" 17 1 TRUE
2012 "human_stool" "T" 13 1 TRUE
2013 "human_stool" "T" 19 1 TRUE
2014 "human_stool" "T" 14 1 TRUE
2015 "human_stool" "T" 16 1 TRUE
2016 "human_stool" "T" 17 1 TRUE
2017 "human_stool" "T" 14 1 TRUE
2018 "human_stool" "T" 12 1 TRUE
2012 "chicken" "A" 1 2 TRUE
2006 "chicken" "I" 4 2 TRUE
2009 "chicken" "I" 3 2 TRUE
2011 "chicken" "I" 8 2 TRUE
2012 "chicken" "I" 11 2 TRUE
2013 "chicken" "I" 8 2 TRUE
2014 "chicken" "I" 5 2 TRUE
2015 "chicken" "I" 10 2 TRUE
2016 "chicken" "I" 11 2 TRUE
2018 "chicken" "I" 18 2 TRUE
1997 "human_stool" "I" 1 2 TRUE
2001 "human_stool" "I" 5 2 TRUE
2003 "human_stool" "I" 11 2 TRUE
2004 "human_stool" "I" 3 2 TRUE
2005 "human_stool" "I" 7 2 TRUE
2006 "human_stool" "I" 8 2 TRUE
2007 "human_stool" "I" 10 2 TRUE
2009 "human_stool" "I" 8 2 TRUE
2010 "human_stool" "I" 12 2 TRUE
2011 "human_stool" "I" 5 2 TRUE
2012 "human_stool" "I" 9 2 TRUE
2013 "human_stool" "I" 11 2 TRUE
2014 "human_stool" "I" 14 2 TRUE
2015 "human_stool" "I" 8 2 TRUE
2016 "human_stool" "I" 9 2 TRUE
2017 "human_stool" "I" 14 2 TRUE
2018 "human_stool" "I" 8 2 TRUE
2006 "chicken" "T" 21 2 TRUE
2009 "chicken" "T" 22 2 TRUE
2011 "chicken" "T" 17 2 TRUE
2012 "chicken" "T" 13 2 TRUE
2013 "chicken" "T" 17 2 TRUE
2014 "chicken" "T" 20 2 TRUE
2015 "chicken" "T" 15 2 TRUE
2016 "chicken" "T" 14 2 TRUE
2018 "chicken" "T" 7 2 TRUE
1997 "human_stool" "T" 24 2 TRUE
1998 "human_stool" "T" 25 2 TRUE
2001 "human_stool" "T" 20 2 TRUE
2003 "human_stool" "T" 14 2 TRUE
2004 "human_stool" "T" 22 2 TRUE
2005 "human_stool" "T" 18 2 TRUE
2006 "human_stool" "T" 17 2 TRUE
2007 "human_stool" "T" 15 2 TRUE
2009 "human_stool" "T" 17 2 TRUE
2010 "human_stool" "T" 13 2 TRUE
2011 "human_stool" "T" 20 2 TRUE
2012 "human_stool" "T" 16 2 TRUE
2013 "human_stool" "T" 14 2 TRUE
2014 "human_stool" "T" 11 2 TRUE
2015 "human_stool" "T" 17 2 TRUE
2016 "human_stool" "T" 16 2 TRUE
2017 "human_stool" "T" 11 2 TRUE
2018 "human_stool" "T" 17 2 TRUE
2012 "chicken" "A" 2 3 TRUE
2018 "chicken" "A" 1 3 TRUE
2006 "chicken" "I" 4 3 TRUE
2009 "chicken" "I" 1 3 TRUE
2011 "chicken" "I" 2 3 TRUE
2012 "chicken" "I" 6 3 TRUE
2013 "chicken" "I" 4 3 TRUE
2014 "chicken" "I" 6 3 TRUE
2015 "chicken" "I" 9 3 TRUE
2016 "chicken" "I" 8 3 TRUE
2018 "chicken" "I" 13 3 TRUE
1997 "human_stool" "I" 3 3 TRUE
2001 "human_stool" "I" 5 3 TRUE
2003 "human_stool" "I" 5 3 TRUE
2004 "human_stool" "I" 1 3 TRUE
2005 "human_stool" "I" 6 3 TRUE
2006 "human_stool" "I" 10 3 TRUE
2007 "human_stool" "I" 13 3 TRUE
2009 "human_stool" "I" 7 3 TRUE
2010 "human_stool" "I" 5 3 TRUE
2011 "human_stool" "I" 6 3 TRUE
2012 "human_stool" "I" 10 3 TRUE
2013 "human_stool" "I" 6 3 TRUE
2014 "human_stool" "I" 9 3 TRUE
2015 "human_stool" "I" 7 3 TRUE
2016 "human_stool" "I" 11 3 TRUE
2017 "human_stool" "I" 13 3 TRUE
2018 "human_stool" "I" 14 3 TRUE
2006 "chicken" "T" 21 3 TRUE
2009 "chicken" "T" 24 3 TRUE
2011 "chicken" "T" 23 3 TRUE
2012 "chicken" "T" 17 3 TRUE
2013 "chicken" "T" 21 3 TRUE
2014 "chicken" "T" 19 3 TRUE
2015 "chicken" "T" 16 3 TRUE
2016 "chicken" "T" 17 3 TRUE
2018 "chicken" "T" 11 3 TRUE
1997 "human_stool" "T" 22 3 TRUE
1998 "human_stool" "T" 25 3 TRUE
2001 "human_stool" "T" 20 3 TRUE
2003 "human_stool" "T" 20 3 TRUE
2004 "human_stool" "T" 24 3 TRUE
2005 "human_stool" "T" 19 3 TRUE
2006 "human_stool" "T" 15 3 TRUE
2007 "human_stool" "T" 12 3 TRUE
2009 "human_stool" "T" 18 3 TRUE
2010 "human_stool" "T" 20 3 TRUE
2011 "human_stool" "T" 19 3 TRUE
2012 "human_stool" "T" 15 3 TRUE
2013 "human_stool" "T" 19 3 TRUE
2014 "human_stool" "T" 16 3 TRUE
2015 "human_stool" "T" 18 3 TRUE
2016 "human_stool" "T" 14 3 TRUE
2017 "human_stool" "T" 12 3 TRUE
2018 "human_stool" "T" 11 3 TRUE
2006 "chicken" "I" 2 4 TRUE
2009 "chicken" "I" 3 4 TRUE
2011 "chicken" "I" 3 4 TRUE
2012 "chicken" "I" 7 4 TRUE
2013 "chicken" "I" 7 4 TRUE
2014 "chicken" "I" 7 4 TRUE
2015 "chicken" "I" 8 4 TRUE
2016 "chicken" "I" 5 4 TRUE
2018 "chicken" "I" 12 4 TRUE
1998 "human_stool" "I" 4 4 TRUE
2001 "human_stool" "I" 8 4 TRUE
2003 "human_stool" "I" 5 4 TRUE
2004 "human_stool" "I" 8 4 TRUE
2005 "human_stool" "I" 4 4 TRUE
2006 "human_stool" "I" 11 4 TRUE
2007 "human_stool" "I" 5 4 TRUE
2009 "human_stool" "I" 9 4 TRUE
2010 "human_stool" "I" 7 4 TRUE
2011 "human_stool" "I" 9 4 TRUE
2012 "human_stool" "I" 12 4 TRUE
2013 "human_stool" "I" 10 4 TRUE
2014 "human_stool" "I" 9 4 TRUE
2015 "human_stool" "I" 9 4 TRUE
2016 "human_stool" "I" 15 4 TRUE
2017 "human_stool" "I" 16 4 TRUE
2018 "human_stool" "I" 14 4 TRUE
2006 "chicken" "T" 23 4 TRUE
2009 "chicken" "T" 22 4 TRUE
2011 "chicken" "T" 22 4 TRUE
2012 "chicken" "T" 18 4 TRUE
2013 "chicken" "T" 18 4 TRUE
2014 "chicken" "T" 18 4 TRUE
2015 "chicken" "T" 17 4 TRUE
2016 "chicken" "T" 20 4 TRUE
2018 "chicken" "T" 13 4 TRUE
1997 "human_stool" "T" 25 4 TRUE
1998 "human_stool" "T" 21 4 TRUE
2001 "human_stool" "T" 17 4 TRUE
2003 "human_stool" "T" 20 4 TRUE
2004 "human_stool" "T" 17 4 TRUE
2005 "human_stool" "T" 21 4 TRUE
2006 "human_stool" "T" 13 4 TRUE
2007 "human_stool" "T" 20 4 TRUE
2009 "human_stool" "T" 16 4 TRUE
2010 "human_stool" "T" 18 4 TRUE
2011 "human_stool" "T" 16 4 TRUE
2012 "human_stool" "T" 13 4 TRUE
2013 "human_stool" "T" 15 4 TRUE
2014 "human_stool" "T" 16 4 TRUE
2015 "human_stool" "T" 16 4 TRUE
2016 "human_stool" "T" 10 4 TRUE
2017 "human_stool" "T" 9 4 TRUE
2018 "human_stool" "T" 11 4 TRUE
2006 "human_stool" "V" 1 4 TRUE
2016 "chicken" "A" 2 5 TRUE
2001 "human_stool" "A" 1 5 TRUE
2006 "chicken" "I" 3 5 TRUE
2009 "chicken" "I" 1 5 TRUE
2011 "chicken" "I" 6 5 TRUE
2012 "chicken" "I" 5 5 TRUE
2013 "chicken" "I" 12 5 TRUE
2014 "chicken" "I" 5 5 TRUE
2015 "chicken" "I" 6 5 TRUE
2016 "chicken" "I" 7 5 TRUE
2018 "chicken" "I" 11 5 TRUE
1997 "human_stool" "I" 1 5 TRUE
1998 "human_stool" "I" 2 5 TRUE
2001 "human_stool" "I" 5 5 TRUE
2003 "human_stool" "I" 6 5 TRUE
2004 "human_stool" "I" 5 5 TRUE
2005 "human_stool" "I" 6 5 TRUE
2006 "human_stool" "I" 6 5 TRUE
2007 "human_stool" "I" 3 5 TRUE
2009 "human_stool" "I" 8 5 TRUE
2010 "human_stool" "I" 4 5 TRUE
2011 "human_stool" "I" 13 5 TRUE
2012 "human_stool" "I" 7 5 TRUE
2013 "human_stool" "I" 10 5 TRUE
2014 "human_stool" "I" 12 5 TRUE
2015 "human_stool" "I" 9 5 TRUE
2016 "human_stool" "I" 15 5 TRUE
2017 "human_stool" "I" 15 5 TRUE
2018 "human_stool" "I" 8 5 TRUE
2006 "chicken" "T" 22 5 TRUE
2009 "chicken" "T" 24 5 TRUE
2011 "chicken" "T" 19 5 TRUE
2012 "chicken" "T" 20 5 TRUE
2013 "chicken" "T" 13 5 TRUE
2014 "chicken" "T" 20 5 TRUE
2015 "chicken" "T" 19 5 TRUE
2016 "chicken" "T" 16 5 TRUE
2018 "chicken" "T" 14 5 TRUE
1997 "human_stool" "T" 24 5 TRUE
1998 "human_stool" "T" 23 5 TRUE
2001 "human_stool" "T" 19 5 TRUE
2003 "human_stool" "T" 19 5 TRUE
2004 "human_stool" "T" 20 5 TRUE
2005 "human_stool" "T" 19 5 TRUE
2006 "human_stool" "T" 19 5 TRUE
2007 "human_stool" "T" 22 5 TRUE
2009 "human_stool" "T" 17 5 TRUE
2010 "human_stool" "T" 21 5 TRUE
2011 "human_stool" "T" 12 5 TRUE
2012 "human_stool" "T" 18 5 TRUE
2013 "human_stool" "T" 15 5 TRUE
2014 "human_stool" "T" 13 5 TRUE
2015 "human_stool" "T" 16 5 TRUE
2016 "human_stool" "T" 10 5 TRUE
2017 "human_stool" "T" 10 5 TRUE
2018 "human_stool" "T" 17 5 TRUE
2012 "chicken" "A" 1 6 TRUE
2011 "human_stool" "A" 1 6 TRUE
2006 "chicken" "I" 2 6 TRUE
2009 "chicken" "I" 1 6 TRUE
2011 "chicken" "I" 8 6 TRUE
2012 "chicken" "I" 5 6 TRUE
2013 "chicken" "I" 9 6 TRUE
2014 "chicken" "I" 2 6 TRUE
2015 "chicken" "I" 8 6 TRUE
2016 "chicken" "I" 13 6 TRUE
2018 "chicken" "I" 10 6 TRUE
1997 "human_stool" "I" 2 6 TRUE
1998 "human_stool" "I" 3 6 TRUE
2001 "human_stool" "I" 7 6 TRUE
2003 "human_stool" "I" 4 6 TRUE
2004 "human_stool" "I" 4 6 TRUE
2005 "human_stool" "I" 8 6 TRUE
2006 "human_stool" "I" 7 6 TRUE
2007 "human_stool" "I" 4 6 TRUE
2009 "human_stool" "I" 8 6 TRUE
2010 "human_stool" "I" 10 6 TRUE
2011 "human_stool" "I" 10 6 TRUE
2012 "human_stool" "I" 9 6 TRUE
2013 "human_stool" "I" 9 6 TRUE
2014 "human_stool" "I" 11 6 TRUE
2015 "human_stool" "I" 8 6 TRUE
2016 "human_stool" "I" 13 6 TRUE
2017 "human_stool" "I" 7 6 TRUE
2018 "human_stool" "I" 10 6 TRUE
2006 "chicken" "T" 23 6 TRUE
2009 "chicken" "T" 24 6 TRUE
2011 "chicken" "T" 17 6 TRUE
2012 "chicken" "T" 19 6 TRUE
2013 "chicken" "T" 16 6 TRUE
2014 "chicken" "T" 23 6 TRUE
2015 "chicken" "T" 17 6 TRUE
2016 "chicken" "T" 12 6 TRUE
2018 "chicken" "T" 15 6 TRUE
1997 "human_stool" "T" 23 6 TRUE
1998 "human_stool" "T" 22 6 TRUE
2001 "human_stool" "T" 18 6 TRUE
2003 "human_stool" "T" 21 6 TRUE
2004 "human_stool" "T" 21 6 TRUE
2005 "human_stool" "T" 17 6 TRUE
2006 "human_stool" "T" 18 6 TRUE
2007 "human_stool" "T" 21 6 TRUE
2009 "human_stool" "T" 17 6 TRUE
2010 "human_stool" "T" 15 6 TRUE
2011 "human_stool" "T" 14 6 TRUE
2012 "human_stool" "T" 16 6 TRUE
2013 "human_stool" "T" 16 6 TRUE
2014 "human_stool" "T" 14 6 TRUE
2015 "human_stool" "T" 17 6 TRUE
2016 "human_stool" "T" 12 6 TRUE
2017 "human_stool" "T" 18 6 TRUE
2018 "human_stool" "T" 15 6 TRUE
2018 "chicken" "A" 1 7 TRUE
2001 "human_stool" "A" 1 7 TRUE
2006 "chicken" "I" 6 7 TRUE
2009 "chicken" "I" 1 7 TRUE
2011 "chicken" "I" 7 7 TRUE
2012 "chicken" "I" 3 7 TRUE
2013 "chicken" "I" 5 7 TRUE
2014 "chicken" "I" 3 7 TRUE
2015 "chicken" "I" 5 7 TRUE
2016 "chicken" "I" 10 7 TRUE
2018 "chicken" "I" 11 7 TRUE
1998 "human_stool" "I" 1 7 TRUE
2001 "human_stool" "I" 4 7 TRUE
2003 "human_stool" "I" 5 7 TRUE
2004 "human_stool" "I" 11 7 TRUE
2005 "human_stool" "I" 5 7 TRUE
2006 "human_stool" "I" 7 7 TRUE
2007 "human_stool" "I" 6 7 TRUE
2009 "human_stool" "I" 7 7 TRUE
2010 "human_stool" "I" 5 7 TRUE
2011 "human_stool" "I" 9 7 TRUE
2012 "human_stool" "I" 6 7 TRUE
2013 "human_stool" "I" 8 7 TRUE
2014 "human_stool" "I" 9 7 TRUE
2015 "human_stool" "I" 13 7 TRUE
2016 "human_stool" "I" 11 7 TRUE
2017 "human_stool" "I" 16 7 TRUE
2018 "human_stool" "I" 12 7 TRUE
2006 "chicken" "T" 19 7 TRUE
2009 "chicken" "T" 24 7 TRUE
2011 "chicken" "T" 18 7 TRUE
2012 "chicken" "T" 22 7 TRUE
2013 "chicken" "T" 20 7 TRUE
2014 "chicken" "T" 22 7 TRUE
2015 "chicken" "T" 20 7 TRUE
2016 "chicken" "T" 15 7 TRUE
2018 "chicken" "T" 13 7 TRUE
1997 "human_stool" "T" 25 7 TRUE
1998 "human_stool" "T" 24 7 TRUE
2001 "human_stool" "T" 20 7 TRUE
2003 "human_stool" "T" 20 7 TRUE
2004 "human_stool" "T" 14 7 TRUE
2005 "human_stool" "T" 20 7 TRUE
2006 "human_stool" "T" 18 7 TRUE
2007 "human_stool" "T" 19 7 TRUE
2009 "human_stool" "T" 18 7 TRUE
2010 "human_stool" "T" 20 7 TRUE
2011 "human_stool" "T" 16 7 TRUE
2012 "human_stool" "T" 19 7 TRUE
2013 "human_stool" "T" 17 7 TRUE
2014 "human_stool" "T" 16 7 TRUE
2015 "human_stool" "T" 12 7 TRUE
2016 "human_stool" "T" 14 7 TRUE
2017 "human_stool" "T" 9 7 TRUE
2018 "human_stool" "T" 13 7 TRUE
2006 "chicken" "I" 2 8 TRUE
2009 "chicken" "I" 3 8 TRUE
2011 "chicken" "I" 9 8 TRUE
2012 "chicken" "I" 10 8 TRUE
2013 "chicken" "I" 11 8 TRUE
2014 "chicken" "I" 2 8 TRUE
2015 "chicken" "I" 7 8 TRUE
2016 "chicken" "I" 10 8 TRUE
2018 "chicken" "I" 11 8 TRUE
1997 "human_stool" "I" 2 8 TRUE
1998 "human_stool" "I" 2 8 TRUE
2001 "human_stool" "I" 5 8 TRUE
2003 "human_stool" "I" 4 8 TRUE
2004 "human_stool" "I" 6 8 TRUE
2005 "human_stool" "I" 3 8 TRUE
2006 "human_stool" "I" 4 8 TRUE
2007 "human_stool" "I" 9 8 TRUE
2009 "human_stool" "I" 9 8 TRUE
2010 "human_stool" "I" 8 8 TRUE
2011 "human_stool" "I" 6 8 TRUE
2012 "human_stool" "I" 8 8 TRUE
2013 "human_stool" "I" 6 8 TRUE
2014 "human_stool" "I" 11 8 TRUE
2015 "human_stool" "I" 13 8 TRUE
2016 "human_stool" "I" 13 8 TRUE
2017 "human_stool" "I" 7 8 TRUE
2018 "human_stool" "I" 8 8 TRUE
2006 "chicken" "T" 23 8 TRUE
2009 "chicken" "T" 22 8 TRUE
2011 "chicken" "T" 16 8 TRUE
2012 "chicken" "T" 15 8 TRUE
2013 "chicken" "T" 14 8 TRUE
2014 "chicken" "T" 23 8 TRUE
2015 "chicken" "T" 18 8 TRUE
